gender,SeniorCitizen,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No_phone_service,MultipleLines_Yes,InternetService_Fiber_optic,InternetService_No,OnlineSecurity_No_internet_service,OnlineSecurity_Yes,OnlineBackup_No_internet_service,OnlineBackup_Yes,DeviceProtection_No_internet_service,DeviceProtection_Yes,TechSupport_No_internet_service,TechSupport_Yes,StreamingTV_No_internet_service,StreamingTV_Yes,StreamingMovies_No_internet_service,StreamingMovies_Yes,Contract_One_year,Contract_Two_year,PaymentMethod_Credit_card__automatic_,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check
1,0,0,0.9583333333333333,1,1,0.6287992027902343,0.6386395107315948,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False
1,1,0,0.16666666666666666,0,1,0.2516193323368211,0.05863720286175861,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
1,0,0,0.013888888888888888,1,0,0.017937219730941728,0.0001615508885298867,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,0.7916666666666666,1,0,0.023418036870951703,0.12743480267712903,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,0,0.4722222222222222,1,0,0.06278026905829598,0.08786060466189707,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,1,1,0.3055555555555555,0,0,0.21574489287493773,0.09939995384260329,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
0,0,0,0.2777777777777778,1,1,0.004982561036372707,0.037947149780752365,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,0,0,0.25,1,1,0.3104135525660189,0.09918647588276022,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,1,0,0.041666666666666664,1,1,0.7618335824613851,0.03657396722824833,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,0.875,1,1,0.8186347782760338,0.7150415416570506,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
1,0,1,0.1111111111111111,1,1,0.009466865969108146,0.015439649203784905,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,1.0,1,1,0.7169905331340309,0.7552042464804984,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,0,0,0.6527777777777778,1,0,0.06975585450921776,0.12928686822063237,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,1,0.7777777777777777,1,1,0.9088191330343797,0.6847680590814678,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True
1,0,0,0.013888888888888888,1,1,0.5132037867463878,0.0058966074313408735,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,0,0.8194444444444444,1,1,0.7518684603886397,0.6411204708054465,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
1,1,0,0.6527777777777778,1,1,0.8136522172396612,0.559918070620817,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,1,0.1111111111111111,0,1,0.260587942202292,0.03746249711516271,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
1,0,0,0.18055555555555555,1,0,0.008968609865470878,0.0277925225017309,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,0,0,0.18055555555555555,0,0,0.30642750373692074,0.07276713593353336,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0.4444444444444444,1,1,0.617339312406577,0.29740941610893146,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,0,1.0,1,1,0.9576482311908322,0.9592834064158783,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
1,0,0,0.6805555555555555,0,0,0.31141006477329347,0.2759173782598661,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False
0,0,0,0.08333333333333333,1,1,0.3228699551569507,0.031069697669051464,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,0,0,0.19444444444444442,1,0,0.0199302441454908,0.02964458804523425,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
0,0,0,0.5,1,1,0.5211758844045841,0.2876932840987768,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
0,0,0,0.40277777777777773,0,0,0.21026407573492775,0.1227729056081237,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
0,0,0,0.16666666666666666,1,1,0.8021923268560041,0.12718093699515348,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False
0,0,1,0.18055555555555555,1,0,0.003986048829098199,0.02682321717055158,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0.027777777777777776,1,1,0.6756352765321376,0.018451419339949225,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,0,0,0.3055555555555555,1,1,0.3029397110114599,0.1195245788137549,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,1,1.0,1,0,0.9581464872944695,0.9562947149780752,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,1,0,0.013888888888888888,1,0,0.5570503238664674,0.006404338795291945,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0.05555555555555555,1,1,0.6701544593921277,0.034946918993768755,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0.5,1,1,0.5695067264573991,0.30710246942072467,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True
1,0,1,0.041666666666666664,1,1,0.016442451420029924,0.006537041310870067,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0.027777777777777776,1,0,0.008968609865470878,0.0029540733902607887,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0.013888888888888888,1,0,0.71898355754858,0.008279483037156705,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
1,1,0,0.013888888888888888,0,1,0.06676631788739415,0.000726978998384491,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0.6666666666666666,1,0,0.014449427005480853,0.10353104084929611,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0.5833333333333333,1,0,0.47932237169905334,0.316633971843988,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False
1,0,1,0.06944444444444445,1,1,0.7169905331340309,0.04796907454419571,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
1,0,1,0.6944444444444444,1,1,0.8515196811160938,0.576863604892684,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,0,0.16666666666666666,0,1,0.3243647234678626,0.06773021001615509,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
1,0,0,0.1388888888888889,1,1,0.3597409068261087,0.06339718439879992,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,1,0.05555555555555555,1,1,0.792725460886896,0.04219939995384261,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,1,0,0.5833333333333333,1,1,0.7638266068759343,0.4530002307869836,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0.29166666666666663,1,0,0.6058794220229199,0.19889799215324258,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
0,0,0,0.013888888888888888,1,0,0.2531141006477329,0.002884837295176552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0.027777777777777776,1,1,0.6761335326357748,0.01879183014078006,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,1,0.8472222222222222,1,1,0.8046836073741904,0.6913512577890607,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0.5694444444444444,1,1,0.013452914798206289,0.10162127855988923,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False
1,0,0,0.20833333333333331,1,0,0.7703039362232188,0.16527809831525503,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,0,0,0.19444444444444442,0,1,0.12655705032386652,0.046261250865451194,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0.2777777777777778,1,1,0.009965122072745414,0.041045465035771986,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,1,0.9444444444444444,0,0,0.4175386148480319,0.47198246018924533,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,1,0.8472222222222222,1,1,0.8121574489287495,0.7180417724440342,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False
0,0,0,0.08333333333333333,1,0,0.015944195316392656,0.010431571659358412,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,1,0,0.5833333333333333,1,1,0.6073741903338316,0.3837179783060235,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,0.3055555555555555,0,1,0.3094170403587444,0.11684744980383108,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
1,0,0,0.4305555555555555,1,1,0.5386148480318885,0.24664781906300487,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,0,0,1.0,1,1,0.9083208769307424,0.9400300023078699,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False
0,0,0,0.041666666666666664,1,1,0.7922272047832587,0.034214170320793914,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
1,0,0,0.3611111111111111,1,0,0.02491280518186348,0.05763904915762751,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0.2222222222222222,1,0,0.5406078724464376,0.13564504961920149,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0.18055555555555555,1,0,0.015944195316392656,0.02304984998846065,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,1,0,0.625,1,1,0.7523667164922772,0.48251211631663976,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
1,0,1,0.9305555555555555,1,0,0.8589935226706528,0.792401338564505,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False
0,1,0,0.041666666666666664,1,1,0.682112605879422,0.023326794368797598,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0.6527777777777778,0,0,0.21175884404583958,0.20538310639279947,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
1,0,0,1.0,1,1,0.9217737917289487,0.9487710593122548,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,1,0.6527777777777778,1,1,0.7184853014449427,0.4961400876990538,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
0,0,1,0.25,1,0,0.017438963627304432,0.042932148626817455,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,0,0.06944444444444445,1,1,0.6268061783756851,0.045868912993307184,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0.05555555555555555,1,0,0.0199302441454908,0.0087352873297946,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
0,0,1,0.9305555555555555,1,0,0.661684105630294,0.6438379875375029,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1,1,0,0.29166666666666663,1,1,0.7812655705032386,0.23211400876990537,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
0,0,0,0.05555555555555555,1,1,0.06875934230194322,0.011325871220863145,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,1,1,0.8472222222222222,1,1,0.46636771300448443,0.45537156704361875,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
0,0,0,0.09722222222222221,1,1,0.6103637269556553,0.06760904684975769,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,1.0,1,1,0.755854509217738,0.7882471728594508,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
0,1,0,0.013888888888888888,1,1,0.3726955655206776,0.004269559196861296,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0.4305555555555555,1,0,0.7513702042850026,0.3462612508654512,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
0,0,1,0.29166666666666663,0,1,0.3741903338315895,0.13134664204938842,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False
0,0,1,0.5833333333333333,1,1,0.7578475336322871,0.45061158550657743,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
0,0,1,0.013888888888888888,1,0,0.015944195316392656,0.00013847219016847444,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,0,0.027777777777777776,1,1,0.6203288490284007,0.014464574198015234,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,1,0.986111111111111,1,1,0.011958146487294513,0.15793330256173554,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,1,0.5833333333333333,1,0,0.045341305430991546,0.11486845141933996,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False
0,1,1,0.19444444444444442,1,1,0.7713004484304933,0.1531848603738749,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
1,1,0,0.041666666666666664,1,1,0.7593423019431988,0.030088852988691437,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0.6388888888888888,1,0,0.016442451420029924,0.10191553196399723,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,1.0,1,0,0.6801195814648731,0.7161320101546274,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,1,0.9583333333333333,1,1,0.7653213751868462,0.7677013616432034,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False
1,0,0,0.3333333333333333,1,1,0.71898355754858,0.2612220170782368,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0,1,0.18055555555555555,1,1,0.5421026407573493,0.10515231940918532,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
0,0,0,0.4861111111111111,1,1,0.8156452416542104,0.4048926840526194,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0.013888888888888888,1,1,0.5221723966118585,0.006000461573967227,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0.06944444444444445,1,0,0.018435475834578996,0.010500807754442648,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0.5833333333333333,1,0,0.06626806178375688,0.10743711054696516,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
1,1,0,0.4305555555555555,1,0,0.7080219232685602,0.32181513962612507,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,1,0.875,1,0,0.571001494768311,0.5374913454881145,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True
1,0,1,0.9722222222222222,1,1,0.6153462879920281,0.6440514654973459,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
1,0,1,0.9583333333333333,1,1,0.7349277528649727,0.7456842834064158,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
1,0,1,0.7222222222222222,1,1,0.7757847533632287,0.5736729748442188,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
0,0,0,0.9305555555555555,1,1,0.5376183358246138,0.5738172167089776,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False
0,0,0,0.027777777777777776,1,1,0.2610861983059293,0.007125548119086083,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,1,0.3333333333333333,1,0,0.06278026905829598,0.06380683129471498,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,1,0.4861111111111111,1,1,0.07324364723467866,0.09967112854834988,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,0,0.7222222222222222,1,1,0.8629795714997509,0.6240537733671822,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
0,0,1,0.027777777777777776,0,1,0.11808669656203288,0.0051869374567274406,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0.2361111111111111,1,0,0.6223218734429496,0.16468382183244867,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
0,0,0,0.9722222222222222,1,1,0.9177877428998505,0.8923667205169629,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
1,0,0,0.861111111111111,1,0,0.8330842052815147,0.7512635587352874,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
1,0,0,0.29166666666666663,1,1,0.01943198804185356,0.04660743134087238,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,1,0,0.6805555555555555,1,0,0.8285999003487793,0.5829217632125547,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
0,0,1,0.8055555555555555,1,0,0.020926756352765336,0.13531040849296103,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0.2777777777777778,1,1,0.4559043348281018,0.14489383798753752,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True
0,1,0,0.6666666666666666,1,0,0.9870453413054311,0.6254442649434572,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
1,1,1,0.986111111111111,1,0,0.013951170901843585,0.1580486960535426,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0.9722222222222222,1,1,0.8744394618834083,0.8604084929609971,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
0,0,1,0.1388888888888889,1,0,0.07673143996013956,0.023857604431110086,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0.05555555555555555,1,1,0.7573492775286499,0.042510962381721674,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
0,0,1,0.38888888888888884,1,1,0.7179870453413055,0.28738172167089776,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
0,0,1,0.25,1,1,0.3587443946188341,0.10827371336256636,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
1,0,0,0.9027777777777777,1,1,0.8555057299451919,0.7840006923609508,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0.9305555555555555,1,0,0.02142501245640263,0.15285021924763445,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
1,0,0,0.027777777777777776,1,0,0.273542600896861,0.007177475190399262,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0.125,1,1,0.6113602391629298,0.08657973690283868,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0.6805555555555555,1,1,0.016442451420029924,0.10435033464112625,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
0,0,0,0.4722222222222222,1,0,0.01943198804185356,0.07551350103854143,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,0.2361111111111111,1,0,0.6223218734429496,0.15947957535195015,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,1,0.5694444444444444,1,0,0.2670652715495765,0.2103738749134549,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,0.09722222222222221,1,1,0.571001494768311,0.06176436648972998,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
1,0,0,0.9166666666666666,1,1,0.4753363228699552,0.5088449111470112,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False
1,0,1,0.9166666666666666,0,1,0.3821624314897858,0.42575582737133627,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
1,0,1,0.8055555555555555,1,0,0.7568510214250125,0.6398396030463881,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
0,1,0,0.29166666666666663,0,1,0.23418036870951672,0.0947726748211401,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,0,0.25,1,1,0.8071748878923768,0.1989556888991461,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
1,1,0,0.6666666666666666,1,1,0.7239661185849527,0.5021867066697439,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,0,1,0.8333333333333333,1,0,0.9651220727453912,0.7777117470574659,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,1,0.09722222222222221,1,1,0.5042351768809168,0.056323563351027006,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0.05555555555555555,1,0,0.022919780767314407,0.006260096930533118,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0.75,1,0,0.012456402590931753,0.11422801753981077,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0.16666666666666666,1,1,0.6596910812157449,0.11522617124394186,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
